Observatorio;Tacubaya;{'ID': 1, 'linea': 1}
Tacubaya;Juanacatlan;{'ID': 2, 'linea': 1}
Tacubaya;Constituyentes;{'ID': 102, 'linea': 7}
Tacubaya;San_Pedro_de_los_Pinos;{'ID': 103, 'linea': 7}
Tacubaya;Patriotismo;{'ID': 125, 'linea': 9}
Juanacatlan;Chapultepec;{'ID': 3, 'linea': 1}
Constituyentes;Auditorio;{'ID': 101, 'linea': 7}
San_Pedro_de_los_Pinos;San_Antonio;{'ID': 104, 'linea': 7}
Patriotismo;Chilpancingo;{'ID': 126, 'linea': 9}
Chapultepec;Sevilla;{'ID': 4, 'linea': 1}
Auditorio;Polanco;{'ID': 100, 'linea': 7}
San_Antonio;Mixcoac;{'ID': 105, 'linea': 7}
Chilpancingo;Centro_Medico;{'ID': 127, 'linea': 9}
Sevilla;Insurgentes;{'ID': 5, 'linea': 1}
Insurgentes;Cuauhtemoc;{'ID': 6, 'linea': 1}
Cuauhtemoc;Balderas;{'ID': 7, 'linea': 1}
Balderas;Salto_del_Agua;{'ID': 8, 'linea': 1}
Balderas;Juarez;{'ID': 50, 'linea': 3}
Balderas;Ninos_Heroes;{'ID': 51, 'linea': 3}
Salto_del_Agua;Isabel_la_Catolica;{'ID': 9, 'linea': 1}
Salto_del_Agua;San_Juan_de_Letran;{'ID': 109, 'linea': 8}
Salto_del_Agua;Doctores;{'ID': 110, 'linea': 8}
Juarez;Hidalgo;{'ID': 49, 'linea': 3}
Ninos_Heroes;Hospital_General;{'ID': 52, 'linea': 3}
Isabel_la_Catolica;Pino_Suarez;{'ID': 10, 'linea': 1}
San_Juan_de_Letran;Bellas_Artes;{'ID': 108, 'linea': 8}
Doctores;Obrera;{'ID': 111, 'linea': 8}
Hidalgo;Revolucion;{'ID': 28, 'linea': 2}
Hidalgo;Bellas_Artes;{'ID': 29, 'linea': 2}
Hidalgo;Guerrero;{'ID': 48, 'linea': 3}
Hospital_General;Centro_Medico;{'ID': 53, 'linea': 3}
Pino_Suarez;Merced;{'ID': 11, 'linea': 1}
Pino_Suarez;Zocalo;{'ID': 32, 'linea': 2}
Pino_Suarez;San_Antonio_Abad;{'ID': 33, 'linea': 2}
Bellas_Artes;Allende;{'ID': 30, 'linea': 2}
Bellas_Artes;Garibaldi;{'ID': 107, 'linea': 8}
Obrera;Chabacano;{'ID': 112, 'linea': 8}
Merced;Candelaria;{'ID': 12, 'linea': 1}
Zocalo;Allende;{'ID': 31, 'linea': 2}
San_Antonio_Abad;Chabacano;{'ID': 34, 'linea': 2}
Candelaria;San_Lazaro;{'ID': 13, 'linea': 1}
Chabacano;Viaducto;{'ID': 35, 'linea': 2}
Chabacano;La_Viga;{'ID': 113, 'linea': 8}
Chabacano;Lazaro_Cardenas;{'ID': 129, 'linea': 9}
Chabacano;Jamaica;{'ID': 130, 'linea': 9}
San_Lazaro;Moctezuma;{'ID': 14, 'linea': 1}
San_Lazaro;Morelos;{'ID': 150, 'linea': 11}
San_Lazaro;Fray_Servando;{'ID': 69, 'linea': 4}
San_Lazaro;Rcardo_Flores_Magon;{'ID': 151, 'linea': 11}
Moctezuma;Balbuena;{'ID': 15, 'linea': 1}
Morelos;Canal_del_Norte;{'ID': 67, 'linea': 4}
Morelos;Tepito;{'ID': 149, 'linea': 11}
Fray_Servando;Jamaica;{'ID': 70, 'linea': 4}
Rcardo_Flores_Magon;Romero_Rubio;{'ID': 152, 'linea': 11}
Balbuena;Blvd_Puerto_Aereo;{'ID': 16, 'linea': 1}
Canal_del_Norte;Consulado;{'ID': 66, 'linea': 4}
Tepito;Lagunilla;{'ID': 148, 'linea': 11}
Jamaica;Santa_Anita;{'ID': 71, 'linea': 4}
Jamaica;Mixiuhca;{'ID': 131, 'linea': 9}
Romero_Rubio;Oceania;{'ID': 153, 'linea': 11}
Blvd_Puerto_Aereo;Gomez_Farias;{'ID': 17, 'linea': 1}
Gomez_Farias;Zaragoza;{'ID': 18, 'linea': 1}
Zaragoza;Pantitlan;{'ID': 19, 'linea': 1}
Pantitlan;Hangares;{'ID': 83, 'linea': 5}
Pantitlan;Puebla;{'ID': 135, 'linea': 9}
Pantitlan;Agricola_Oriental;{'ID': 136, 'linea': 10}
Hangares;Terminal_Aerea;{'ID': 82, 'linea': 5}
Puebla;Ciudad_Deportiva;{'ID': 134, 'linea': 9}
Agricola_Oriental;Canal_de_San_Juan;{'ID': 137, 'linea': 10}
Terminal_Aerea;Oceania;{'ID': 81, 'linea': 5}
Ciudad_Deportiva;Velodromo;{'ID': 133, 'linea': 9}
Canal_de_San_Juan;Tepalcates;{'ID': 138, 'linea': 10}
Cuatro_Caminos;Panteones;{'ID': 20, 'linea': 2}
Panteones;Tacuba;{'ID': 21, 'linea': 2}
Tacuba;Cuitlahuac;{'ID': 22, 'linea': 2}
Tacuba;Refineria;{'ID': 97, 'linea': 7}
Tacuba;San_Joaquin;{'ID': 98, 'linea': 7}
Cuitlahuac;Popotla;{'ID': 23, 'linea': 2}
Refineria;Camarones;{'ID': 96, 'linea': 7}
San_Joaquin;Polanco;{'ID': 99, 'linea': 7}
Popotla;Colegio_Militar;{'ID': 24, 'linea': 2}
Camarones;Aquiles_Serdan;{'ID': 95, 'linea': 7}
Colegio_Militar;Normal;{'ID': 25, 'linea': 2}
Normal;San_Cosme;{'ID': 26, 'linea': 2}
San_Cosme;Revolucion;{'ID': 27, 'linea': 2}
Guerrero;Tlatelolco;{'ID': 47, 'linea': 3}
Guerrero;Buenavista;{'ID': 145, 'linea': 11}
Guerrero;Garibaldi;{'ID': 146, 'linea': 11}
Garibaldi;Lagunilla;{'ID': 147, 'linea': 11}
Tlatelolco;La_Raza;{'ID': 46, 'linea': 3}
Viaducto;Xola;{'ID': 36, 'linea': 2}
La_Viga;Santa_Anita;{'ID': 114, 'linea': 8}
Lazaro_Cardenas;Centro_Medico;{'ID': 128, 'linea': 9}
Xola;Villa_de_Cortes;{'ID': 37, 'linea': 2}
Santa_Anita;Coyuya;{'ID': 115, 'linea': 8}
Centro_Medico;Etiopia;{'ID': 54, 'linea': 3}
Mixiuhca;Velodromo;{'ID': 132, 'linea': 9}
Villa_de_Cortes;Nativitas;{'ID': 38, 'linea': 2}
Nativitas;Portales;{'ID': 39, 'linea': 2}
Portales;Ermita;{'ID': 40, 'linea': 2}
Ermita;General_Anaya;{'ID': 41, 'linea': 2}
General_Anaya;Tasquena;{'ID': 42, 'linea': 2}
Indios_Verdes;Deportivo_18_de_Marzo;{'ID': 43, 'linea': 3}
Deportivo_18_de_Marzo;Potrero;{'ID': 44, 'linea': 3}
Deportivo_18_de_Marzo;Lindavista;{'ID': 91, 'linea': 6}
Deportivo_18_de_Marzo;La_Villa_Basilica;{'ID': 92, 'linea': 6}
Potrero;La_Raza;{'ID': 45, 'linea': 3}
Lindavista;Inst_del_Petroleo;{'ID': 90, 'linea': 6}
La_Villa_Basilica;Martin_Carrera;{'ID': 93, 'linea': 6}
La_Raza;Autobuses_del_Norte;{'ID': 74, 'linea': 5}
La_Raza;Misterios;{'ID': 75, 'linea': 5}
Inst_del_Petroleo;Autobuses_del_Norte;{'ID': 73, 'linea': 5}
Inst_del_Petroleo;Politecnico;{'ID': 72, 'linea': 5}
Inst_del_Petroleo;Vallejo;{'ID': 89, 'linea': 6}
Martin_Carrera;Talisman;{'ID': 63, 'linea': 4}
Misterios;Valle_Gomez;{'ID': 76, 'linea': 5}
Valle_Gomez;Consulado;{'ID': 77, 'linea': 5}
Etiopia;Eugenia;{'ID': 55, 'linea': 3}
Eugenia;Division_del_Norte;{'ID': 56, 'linea': 3}
Division_del_Norte;Zapata;{'ID': 57, 'linea': 3}
Zapata;Coyoacan;{'ID': 58, 'linea': 3}
Coyoacan;Viveros;{'ID': 59, 'linea': 3}
Viveros;Miguel_A_de_Quevedo;{'ID': 60, 'linea': 3}
Miguel_A_de_Quevedo;Copilco;{'ID': 61, 'linea': 3}
Copilco;Universidad;{'ID': 62, 'linea': 3}
Talisman;Bondojito;{'ID': 64, 'linea': 4}
Bondojito;Consulado;{'ID': 65, 'linea': 4}
Consulado;Eduardo_Molina;{'ID': 78, 'linea': 5}
Eduardo_Molina;Aragon;{'ID': 79, 'linea': 5}
Aragon;Oceania;{'ID': 80, 'linea': 5}
Coyuya;Iztacalco;{'ID': 116, 'linea': 8}
Iztacalco;Apatlaco;{'ID': 117, 'linea': 8}
Vallejo;Norte_45;{'ID': 88, 'linea': 6}
Norte_45;Ferreria;{'ID': 87, 'linea': 6}
Oceania;Deportivo_Oceania;{'ID': 154, 'linea': 11}
Deportivo_Oceania;Bosque_de_Aragon;{'ID': 155, 'linea': 11}
Bosque_de_Aragon;Villa_de_Aragon;{'ID': 156, 'linea': 11}
El_Rosario;Tezozomoc;{'ID': 84, 'linea': 6}
El_Rosario;Aquiles_Serdan;{'ID': 94, 'linea': 7}
Tezozomoc;Azcapotzalco;{'ID': 85, 'linea': 6}
Azcapotzalco;Ferreria;{'ID': 86, 'linea': 6}
Mixcoac;Barranca_del_Muerto;{'ID': 106, 'linea': 7}
Apatlaco;Aculco;{'ID': 118, 'linea': 8}
Aculco;Escuadron_201;{'ID': 119, 'linea': 8}
Escuadron_201;Atlalilco;{'ID': 120, 'linea': 8}
Atlalilco;Iztapalapa;{'ID': 121, 'linea': 8}
Iztapalapa;Cerro_de_la_Estrella;{'ID': 122, 'linea': 8}
Cerro_de_la_Estrella;UAM_I;{'ID': 123, 'linea': 8}
UAM_I;Const_de_1917;{'ID': 124, 'linea': 8}
Tepalcates;Guelatao;{'ID': 139, 'linea': 10}
Guelatao;Penon_Viejo;{'ID': 140, 'linea': 10}
Penon_Viejo;Acatitla;{'ID': 141, 'linea': 10}
Acatitla;Santa_Marta;{'ID': 142, 'linea': 10}
Santa_Marta;Los_Reyes;{'ID': 143, 'linea': 10}
Los_Reyes;La_Paz;{'ID': 144, 'linea': 10}
Villa_de_Aragon;Nezahualcoyotl;{'ID': 157, 'linea': 11}
Nezahualcoyotl;Impulsora;{'ID': 158, 'linea': 11}
Impulsora;Rio_de_los_Remedios;{'ID': 159, 'linea': 11}
